fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.50334,0.00426,0.01023,0.85814,0.00039,4.28828,0.45932,3.74583,1.64219,2.1439,0.02405,0.81854,0.20195,0.0,0.10072,0.56448,0.0,0.0,0.0,0.23793,0.0,0.76126,0.0,0.0,0.0,7
0.50898,0.00457,0.01005,0.79051,0.00042,2.50463,0.95,5.07689,1.79582,1.50482,0.02327,0.9,0.1658,0.0,0.06996,0.79108,0.0,0.0,0.0,0.26686,0.0,0.76098,0.0,0.0,0.0,6
0.57876,0.00629,0.00664,0.91249,0.00043,4.31894,0.57448,5.00758,1.47656,3.77059,0.03011,0.88681,0.18771,0.0,0.11442,0.76039,0.0,0.0,0.0,0.25174,0.0,0.88192,0.0,0.0,0.0,6
0.4921,0.00506,0.00639,0.80356,0.00057,2.52304,0.93859,4.22253,1.32497,1.50142,0.01634,0.75563,0.2042,0.0,0.07664,0.75404,0.0,0.0,0.0,0.24592,0.0,0.7482,0.0,0.0,0.0,7
0.504,0.00585,0.00754,0.92959,0.00034,3.42736,0.8834,5.41304,1.31258,2.84782,0.02343,0.87686,0.1964,0.0,0.08696,0.95,0.0,0.0,0.0,0.24223,0.0,0.70481,0.0,0.0,0.0,6
0.55338,0.00388,0.01079,0.96367,0.00031,3.9257,0.86196,5.15525,1.14208,2.02583,0.00948,0.9,0.12587,0.0,0.08291,0.87894,0.0,0.0,0.0,0.29317,0.0,0.77125,0.0,0.0,0.0,7
0.49619,0.00552,0.00449,0.88025,0.00047,2.90909,0.70202,4.09847,0.977,1.19434,0.01911,0.84607,0.14338,0.0,0.10378,0.71477,0.0,0.0,0.0,0.30128,0.0,0.67998,0.0,0.0,0.0,10
0.58371,0.00433,0.01066,0.86403,0.0004,3.36204,0.95,5.001,1.01152,1.5551,0.03003,0.78473,0.25825,0.0,0.07564,0.95,0.0,0.0,0.0,0.23948,0.0,0.64827,0.0,0.0,0.0,5
0.50377,0.00565,0.01009,0.85506,0.00042,3.68612,0.93684,5.09189,1.29523,1.80601,0.02084,0.73708,0.17979,0.0,0.08531,0.95,0.0,0.0,0.0,0.23667,0.0,0.73872,0.0,0.0,0.0,6
0.54356,0.00513,0.00793,0.86306,0.00037,3.53688,0.72544,3.80033,1.18598,2.09096,0.01944,0.9,0.19277,0.0,0.08997,0.8268,0.0,0.0,0.0,0.21218,0.0,0.74246,0.0,0.0,0.0,9
0.59383,0.00501,0.00613,0.86128,0.00027,3.17756,0.49787,4.12145,1.4723,1.42996,0.02786,0.73384,0.19839,0.0,0.09533,0.88385,0.0,0.0,0.0,0.24892,0.0,0.73338,0.0,0.0,0.0,10
0.51562,0.00585,0.00748,0.91217,0.00043,2.51908,0.80792,4.06664,1.21582,1.09181,0.0157,0.85113,0.17983,0.0,0.08513,0.80408,0.0,0.0,0.0,0.30579,0.0,0.67824,0.0,0.0,0.0,10
0.55193,0.005,0.00899,0.82991,0.00042,3.57843,0.75371,4.71071,1.69817,1.72198,0.01042,0.73748,0.21764,0.0,0.09503,0.95,0.0,0.0,0.0,0.21308,0.0,0.73478,0.0,0.0,0.0,9
0.59406,0.00495,0.00594,0.92539,0.00042,4.40575,0.95,4.69199,1.52788,1.73683,0.02343,0.9,0.21707,0.0,0.08641,0.7877,0.0,0.0,0.0,0.29147,0.0,0.73876,0.0,0.0,0.0,7
0.55644,0.00396,0.00868,0.91172,0.00031,3.73725,0.85743,3.15145,1.28809,2.31808,0.01989,0.84516,0.21005,0.0,0.08179,0.75266,0.0,0.0,0.0,0.26742,0.0,0.77325,0.0,0.0,0.0,7
0.5174,0.0046,0.00835,0.85425,0.0004,3.37068,0.50483,5.87873,1.0879,1.5503,0.02635,0.72521,0.16702,0.0,0.0793,0.88058,0.0,0.0,0.0,0.27981,0.0,0.68466,0.0,0.0,0.0,9
